标题,BV号,发布时间,播放量,点赞数,评论数,收藏数
那些被制裁最最严重的国家，都怎么样了?,BV1qVsRzbEQ2,2025-10-25 17:30:00,2646960,112375,3135,28486
"全球乱跑的""最贵""视频，看我发现了什么…？",BV1wK4vznEW3,2025-10-15 17:36:30,2975728,64190,2344,12883
美元暴跌的背后...,BV14U4uzRE1X,2025-10-12 17:40:08,2748872,115779,3906,26840
一口气了解伊朗经济,BV1MEp1z7EAx,2025-09-16 17:30:00,2819446,88594,3470,23418
"中国经济2025 (小结, 简单聊聊)",BV1A3hRzpEY5,2025-08-29 17:30:00,3698308,103692,6563,32976
期货，为什么总是拉爆债市、股市、油价？ 资本世界的多空大战有多凶残...,BV12YeczEE6x,2025-08-19 17:30:00,2302844,132006,3622,38864
机器人，真的要来了么...？,BV1AcbVzwEEc,2025-08-11 17:30:00,5718640,70419,3632,14666
"什么是""金融赌场""，它背后有什么秘密？",BV1ZG8kzuEnD,2025-07-31 17:30:00,2453953,90443,3370,34347
一口气了解稳定币,BV1SquEzGERq,2025-07-15 18:01:53,3540272,128909,10374,49401
一口气了解A股上市,BV1ZMgDzLEey,2025-07-02 17:30:00,1789743,69218,2488,22276
特朗普打算怎么干美联储? | 一口气了解美联储和白宫的世纪对抗,BV1P8NizTEwM,2025-06-17 17:30:00,2352865,85178,1739,17296
骗到国家差点破产?! 越南女首富被判死刑 | 越南经济背后...,BV1DcTMzgE68,2025-06-06 17:30:00,4027255,113678,3096,26561
关税过山车，特朗普究竟想干嘛？,BV16HEWzcEUK,2025-05-17 17:30:00,3215351,120327,3443,31175
全球第一网红，一边撒钱，一边赚钱，how？,BV19EEizDEc4,2025-05-14 17:45:19,9861327,204805,3965,152064
太刺激了，我差点上天了！,BV1G8LyzvERq,2025-04-28 17:38:27,1284252,33382,953,3031
一口气了解瑞士经济,BV1xU5bzVEjV,2025-04-20 17:30:00,5334293,188288,6805,57416
美国刹不住的贸易逆差，根本原因是什么?,BV1Pho9YrEre,2025-03-28 17:30:00,7551485,368501,8895,94677
"中国的""国库""竟然不止一个? 美国的国库竟然...",BV11UQgYrEKp,2025-03-15 18:30:00,7310847,284592,5116,75140
全球最有钱的政府们是怎么投资的？,BV1K19FYDEiR,2025-03-02 17:30:00,6510538,266153,3580,70874
一口气了解关税,BV1qJAGebEuX,2025-02-17 17:00:00,5917204,196534,7794,79783
1mm，卷出精密制造新大陆,BV1CiAKeWEyf,2025-02-16 17:30:00,4408760,93320,2656,10266
500万粉丝大揭秘，我是如何赚钱的～,BV1zhNceuEXY,2025-02-04 17:00:00,2477349,122961,3263,29382
一口气了解化债和中国的财政体系,BV1CcwVeqEHE,2025-01-16 17:00:00,5043879,133580,4540,63013
全球最大饮品店的秘密,BV1X56zYMEi6,2025-01-04 17:30:00,3182033,98183,4231,27518
【年度总结】一口气了解2024年的全球经济,BV1ttk9YkEVx,2024-12-24 17:37:29,5250925,245755,7456,103316
游戏产业背后的资本｜中国美国日本资本逻辑和格局有什么不同？,BV1K8rfYXE99,2024-12-18 17:30:00,2360625,91343,3817,20494
全球最赚钱的玩具公司 - 乐高,BV1L4znYWEr5,2024-12-01 17:30:00,2496963,93150,3985,23432
【美国大选】特朗普 vs 哈里斯 经济政策有什么不一样？,BV1a9DAYFEqo,2024-11-02 17:15:34,5212388,177902,4410,41704
这个百亿大佬，竟然是我师兄？他成功的秘诀是……,BV1sJyUY8EkF,2024-10-25 19:07:11,2029122,81248,2335,30692
一口气了解洗钱，它能玩得有多花？,BV19AyzYJE9s,2024-10-21 17:30:00,7998750,283811,8011,152269
